timestamp,entries
1714413810.7589295,2008
1714478400.0019317,10582
1714564800.0020823,17008
1714651200.001089,20882
1714737600.001923,23590
1714824000.0024042,26981
1714910400.0019193,30289
1714996800.0019157,33866
1715083200.0048091,37281
1715169600.0019803,40290
1715256000.0012608,41885
1715342400.001816,43505
1715428800.0015006,45100
1715515200.001065,46652
1715601600.0021186,48343
1715688000.001168,50024
1715774400.0017183,51654
1715860800.0014718,53714
1715947200.0022664,56180
1716033600.002101,58654
1716120000.0006187,61101
1716206400.0005834,64112
1716292800.003371,68062
1716379200.000698,72058
1716465600.001642,76211
1716552000.001253,79429
1716638400.0024753,82203
1716724800.0019653,84747
1716811200.00133,88464
1716897600.001329,93194
1716984000.0018072,96978
1717070400.0017169,100903
1717156800.0014973,105347
1717243200.003312,109764
1717329600.003653,112824
1717416000.0014808,117419
1717502400.0053344,121623
1717588800.003641,125794
1717675200.0012546,130219
1717761600.0077996,134575
1717848000.0358317,139264
1717934400.0005853,142031
1718020800.001228,145110
1718107200.000609,148181
1718193600.0005558,152272
1718280000.0025992,155532
1718366400.000611,160032
1718452800.0005488,163228
1718539200.0006316,166285
1718625600.000597,169355
1718712000.0005658,173030
1718798400.0006874,175923
1718884800.0006464,179084
1718971200.002121,182037
1719057600.0006557,185131
1719144000.000619,188371
1719230400.0005872,191720
1719316800.010232,194663
1719326888.158069,194967
1719403200.0012124,198547
1719409267.6354835,198783
1719489600.0020163,203300
1719576000.0499876,207895
1719662400.0016708,211363
1719748800.0017314,214727
1719835200.0113106,218234
1719921600.0013585,221917
1720008000.0020666,227099
1720094400.0006745,232600
1720267200.0017347,239680
1720353600.0016935,243782
1720526400.0020132,252784
1721044800.0011787,276211
1721131200.0012162,279552
1721390400.001984,289911
1721563200.0006297,297370
1721995200.0005546,320167
1722168000.0012157,331500
1722427200.000516,353456
1722513600.0016985,360663
1722600000.0005414,368191
1722686400.0005634,374215
1722772800.000582,381045
1722859200.0006015,389163
1723723200.001456,473141
1723809600.0043657,482076
1723896000.0011744,490391
1723982400.0006323,498978
1724155200.0005643,517914
1724241600.0006611,527227
1724328000.00129,536117
1724500800.0006506,555213
1724587200.0018122,567577
1724760000.000576,595651
1724846400.0005524,610260
1724932800.0007222,627924
