drafted,used_weeks,adp,advancing,player_name,position,sleeper_id,team,avg_used_weeks,advance_rate
56056,201377,94.6,11951,Jordan Love,QB,6804,GB,3.59,0.213
56022,148922,158.6,7959,Aaron Rodgers,QB,96,NYJ,2.66,0.142
56056,313312,107.2,11757,Brian Robinson Jr.,RB,8154,WAS,5.59,0.21
19,5,203.6,0,Malik Heath,WR,11210,GB,0.26,0.0
5,0,195.8,1,Nathaniel Peat,RB,12007,,0.0,0.2
1,0,198.0,0,David Moore,WR,4274,CAR,0.0,0.0
56056,326220,46.8,18287,Lamar Jackson,QB,4881,BAL,5.82,0.326
1044,0,207.7,160,Davis Allen,TE,10214,LAR,0.0,0.153
8374,7038,205.5,1305,Gardner Minshew II,QB,6011,LV,0.84,0.156
56056,78572,120.1,6602,Adonai Mitchell,WR,11625,IND,1.4,0.118
2593,0,207.4,258,Evan Hull,RB,9220,IND,0.0,0.099
544,118,209.3,65,Jalen Brooks,WR,11034,DAL,0.22,0.119
492,0,207.8,64,Donovan Peoples-Jones,WR,6824,DET,0.0,0.13
761,1245,206.9,152,Olamide Zaccheaus,WR,6271,WAS,1.64,0.2
9,1,198.2,1,Tyreik McAllister,RB,8749,LV,0.11,0.111
10,0,209.3,2,N'Keal Harry,WR,5878,,0.0,0.2
6,17,211.0,1,Sterling Shepard,WR,3200,TB,2.83,0.167
41564,0,189.1,5271,Elijah Mitchell,RB,7561,SF,0.0,0.127
908,4364,206.2,208,Tutu Atwell,WR,7562,LAR,4.81,0.229
33,0,205.5,3,Tyrod Taylor,QB,827,NYJ,0.0,0.091
1,0,213.0,0,Tanner McKee,QB,9230,PHI,0.0,0.0
2,0,209.5,0,Colin Kaepernick,QB,980,,0.0,0.0
4,0,199.0,0,Joshua Kelley,RB,7045,TEN,0.0,0.0
1,1,202.0,0,KhaDarel Hodge,WR,5773,ATL,1.0,0.0
56056,178661,115.3,11827,Dallas Goedert,TE,5022,PHI,3.19,0.211
598,239,206.9,40,Justin Watson,WR,5374,KC,0.4,0.067
38,0,209.7,4,Rashaad Penny,RB,4985,,0.0,0.105
218,0,208.4,19,Blake Watson,RB,11568,DEN,0.0,0.087
3,0,210.0,0,KJ Hamler,WR,6805,BUF,0.0,0.0
56056,202688,124.0,8904,Jerry Jeudy,WR,6783,CLE,3.62,0.159
91,0,200.6,11,Skyy Moore,WR,8168,KC,0.0,0.121
15047,73495,205.9,3499,Alexander Mattison,RB,5987,LV,4.88,0.233
1,0,209.0,1,Jaren Hall,QB,9231,SEA,0.0,1.0
53796,140004,188.7,8904,Tyrone Tracy,RB,11655,NYG,2.6,0.166
56056,72900,136.5,6672,Justin Herbert,QB,6797,LAC,1.3,0.119
206,405,209.2,33,KaVontae Turpin,WR,8917,DAL,1.97,0.16
51620,39108,187.8,7308,Luke McCaffrey,WR,11650,WAS,0.76,0.142
56056,193976,62.3,11899,Joe Mixon,RB,4018,HOU,3.46,0.212
56056,246440,107.3,10682,Khalil Shakir,WR,8134,BUF,4.4,0.191
6,0,212.2,0,Allen Robinson II,WR,1992,DET,0.0,0.0
56056,241091,134.7,10853,Pat Freiermuth,TE,7600,PIT,4.3,0.194
1,4,216.0,0,DJ Turner,WR,7989,LV,4.0,0.0
6864,2023,207.2,890,Kendrick Bourne,WR,4454,NE,0.29,0.13
7,1,204.3,0,Isaiah Hodgins,WR,6920,NYG,0.14,0.0
8,0,208.1,1,Jha'Quan Jackson,WR,11808,TEN,0.0,0.125
56056,272974,51.6,7469,Dalton Kincaid,TE,10236,BUF,4.87,0.133
56056,239419,100.3,11576,Jayden Daniels,QB,11566,WAS,4.27,0.207
56056,220624,35.7,6286,Sam LaPorta,TE,10859,DET,3.94,0.112
56056,351965,4.5,17289,Ja'Marr Chase,WR,7564,CIN,6.28,0.308
48,10,209.4,1,Julius Chestnut,RB,8254,TEN,0.21,0.021
9,0,202.9,0,Jase McClellan,RB,11590,ATL,0.0,0.0
56056,310304,84.4,12122,James Conner,RB,4137,ARI,5.54,0.216
3,0,211.3,1,Malik Davis,RB,8800,DAL,0.0,0.333
370,0,208.9,43,Sam Howell,QB,8162,SEA,0.0,0.116
5,0,185.0,1,Zach Evans,RB,9222,,0.0,0.2
3,0,201.7,0,Jamal Agnew,WR,4198,,0.0,0.0
56056,96392,105.9,7338,Joshua Palmer,WR,7670,LAC,1.72,0.131
10,1,210.3,0,Hassan Haskins,RB,8123,LAC,0.1,0.0
4,0,209.8,0,Tanner Mordecai,QB,11924,SF,0.0,0.0
2,0,189.5,0,Danny Gray,WR,8176,PHI,0.0,0.0
7,0,208.7,3,Desmond Ridder,QB,8159,LV,0.0,0.429
1,0,116.0,0,Joseph Ngata,WR,11276,,0.0,0.0
1,0,205.0,0,Skylar Thompson,QB,8206,MIA,0.0,0.0
1853,1273,207.0,253,Jonathan Mingo,WR,10225,CAR,0.69,0.137
1,0,19.0,0,De'Quan Hampton,WR,4814,,0.0,0.0
14,0,209.3,2,Joshua Cephus,WR,12114,JAX,0.0,0.143
19736,3061,202.2,2061,Malik Washington,WR,11610,MIA,0.16,0.104
7080,0,207.1,1041,A.T. Perry,WR,10863,DEN,0.0,0.147
1,0,206.0,0,Tre Turner,WR,8169,,0.0,0.0
255,209,208.9,29,Tommy Tremble,TE,7694,CAR,0.82,0.114
